               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  96,            0.037844,            0.024959,           0.0036944,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00373,             0.00373,             0.00373
                  97,            0.018749,            0.015729,           0.0032992,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00094857,          0.00094857,          0.00094857
                  98,            0.017661,            0.014629,           0.0032638,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00085429,          0.00085429,          0.00085429
                  99,            0.017129,            0.013955,           0.0034181,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00076,             0.00076,             0.00076
                 100,            0.016486,            0.013302,           0.0030554,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00066571,          0.00066571,          0.00066571
                 101,            0.016435,            0.012917,           0.0033686,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00057143,          0.00057143,          0.00057143
                 102,            0.016412,            0.013067,           0.0034173,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00047714,          0.00047714,          0.00047714
                 103,            0.016129,            0.012848,           0.0028441,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00038286,          0.00038286,          0.00038286
                 104,            0.016058,            0.012618,           0.0029643,             0.97749,             0.98404,              0.9937,             0.95102,            0.013545,            0.010335,           0.0028813,          0.00028857,          0.00028857,          0.00028857
                  96,            0.039451,            0.024783,           0.0037874,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00373,             0.00373,             0.00373
                  97,            0.019157,            0.015231,           0.0036097,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00096849,          0.00096849,          0.00096849
                  98,             0.01782,            0.014027,           0.0034125,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00087223,          0.00087223,          0.00087223
                  99,            0.017368,            0.013516,           0.0033172,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00077596,          0.00077596,          0.00077596
                 100,            0.017217,             0.01333,           0.0033228,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00067969,          0.00067969,          0.00067969
                 101,            0.016794,            0.012776,            0.003295,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00058343,          0.00058343,          0.00058343
                 102,            0.016564,            0.012725,           0.0032233,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00048716,          0.00048716,          0.00048716
                 103,            0.016665,            0.012554,           0.0031414,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0003909,           0.0003909,           0.0003909
                 104,            0.016511,            0.012421,           0.0031054,             0.97873,             0.98304,             0.99369,             0.95128,            0.013697,             0.01026,           0.0030217,          0.00029463,          0.00029463,          0.00029463
                  96,            0.037083,            0.024846,           0.0036047,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00373,             0.00373,             0.00373
                  97,            0.018742,            0.015048,           0.0034909,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00086905,          0.00086905,          0.00086905
                  98,            0.017272,            0.014346,           0.0031795,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.000783,            0.000783,            0.000783
                  99,            0.016953,            0.013662,           0.0032531,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00069695,          0.00069695,          0.00069695
                 100,            0.016616,            0.013344,           0.0030621,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0006109,           0.0006109,           0.0006109
                 101,            0.016444,            0.012933,           0.0031355,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00052484,          0.00052484,          0.00052484
                 102,            0.016272,            0.012498,           0.0030043,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00043879,          0.00043879,          0.00043879
                 103,            0.015938,            0.012593,           0.0030982,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00035274,          0.00035274,          0.00035274
                 104,             0.01601,            0.012427,           0.0030344,             0.97895,             0.98395,              0.9938,             0.94996,            0.013456,            0.010733,           0.0027584,          0.00026669,          0.00026669,          0.00026669
                  96,            0.039143,            0.024892,           0.0034708,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00373,             0.00373,             0.00373
                  97,            0.020343,              0.0155,           0.0032855,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00086889,          0.00086889,          0.00086889
                  98,            0.019017,            0.014685,           0.0031566,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00078253,          0.00078253,          0.00078253
                  99,            0.018511,            0.013814,           0.0030633,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00069616,          0.00069616,          0.00069616
                 100,            0.018027,            0.013722,           0.0031825,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00060979,          0.00060979,          0.00060979
                 101,            0.017905,            0.013317,           0.0031352,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00052343,          0.00052343,          0.00052343
                 102,            0.017941,            0.013128,           0.0031277,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00043706,          0.00043706,          0.00043706
                 103,            0.017716,             0.01288,           0.0028317,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0003507,           0.0003507,           0.0003507
                 104,            0.017804,            0.012942,           0.0028798,             0.97874,               0.985,             0.99372,             0.94986,            0.014371,            0.010453,           0.0027781,          0.00026433,          0.00026433,          0.00026433
                  96,            0.044215,            0.025114,           0.0027912,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00373,             0.00373,             0.00373
                  97,            0.022277,            0.015548,           0.0025542,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00094826,          0.00094826,          0.00094826
                  98,            0.020996,            0.014703,           0.0024318,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00085408,          0.00085408,          0.00085408
                  99,             0.02006,            0.013964,           0.0023402,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00075989,          0.00075989,          0.00075989
                 100,            0.020217,            0.013695,           0.0022491,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00066571,          0.00066571,          0.00066571
                 101,             0.01998,            0.013491,           0.0022891,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00057152,          0.00057152,          0.00057152
                 102,            0.019546,            0.012929,           0.0023034,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00047734,          0.00047734,          0.00047734
                 103,            0.019451,            0.012915,            0.002195,                   0,                   0,                   0,                   0,                   0,                   0,                   0,          0.00038315,          0.00038315,          0.00038315
                 104,            0.019227,            0.012839,           0.0022808,             0.97933,             0.98254,             0.99371,             0.95152,            0.015986,            0.011075,           0.0020531,          0.00028897,          0.00028897,          0.00028897
