               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.070873,            0.043221,            0.018665,             0.43699,             0.77349,             0.49501,             0.20495,            0.057108,            0.027311,           0.0062544,           0.0033172,           0.0033172,            0.070146
                   1,            0.050576,            0.026402,           0.0060014,             0.67625,             0.79671,             0.82346,             0.48302,            0.046381,            0.021177,           0.0036288,           0.0066066,           0.0066066,            0.040102
                   2,            0.045676,            0.023953,           0.0041624,             0.79174,             0.84911,             0.92061,             0.61303,            0.042486,             0.02018,           0.0022905,            0.009852,            0.009852,            0.010014
                   3,            0.039608,            0.023101,           0.0031847,             0.88235,             0.95018,             0.97007,             0.71951,            0.026748,            0.018108,           0.0021085,            0.009802,            0.009802,            0.009802
                   4,            0.032372,            0.021313,           0.0027141,             0.98238,             0.97268,             0.99039,             0.78626,            0.022583,            0.016453,           0.0019701,            0.009802,            0.009802,            0.009802
                   5,            0.029751,            0.020143,           0.0022493,             0.98689,             0.97826,             0.99231,             0.79896,            0.022789,            0.016099,           0.0019291,            0.009736,            0.009736,            0.009736
                   6,            0.028134,            0.019753,           0.0021221,             0.98551,              0.9793,             0.99322,              0.8324,            0.020832,            0.015227,           0.0015384,             0.00967,             0.00967,             0.00967
                   7,            0.025969,            0.018605,           0.0019472,             0.99223,             0.98369,             0.99398,             0.83559,            0.017647,            0.014355,           0.0012404,            0.009604,            0.009604,            0.009604
                   8,            0.024596,            0.018051,           0.0016882,             0.99156,             0.98403,             0.99375,             0.85068,            0.016619,            0.013846,           0.0013177,            0.009538,            0.009538,            0.009538
                   9,            0.023007,            0.017616,           0.0016883,             0.98979,               0.987,             0.99407,             0.85079,            0.016404,            0.013388,           0.0010941,            0.009472,            0.009472,            0.009472
                  10,            0.022798,              0.0173,           0.0016338,             0.99145,             0.98739,             0.99381,             0.85895,            0.015664,            0.013378,            0.001051,            0.009406,            0.009406,            0.009406
                  11,            0.022078,            0.016861,           0.0016057,             0.99336,             0.98622,             0.99428,             0.87056,             0.01508,            0.012798,           0.0010094,             0.00934,             0.00934,             0.00934
                  12,            0.022519,            0.017232,           0.0014962,             0.99221,             0.98968,             0.99431,             0.87416,            0.014262,            0.012796,           0.0010772,            0.009274,            0.009274,            0.009274
                  13,            0.021141,            0.016473,            0.001479,             0.99331,             0.98883,             0.99452,             0.88064,             0.01401,            0.012438,           0.0011915,            0.009208,            0.009208,            0.009208
                  14,            0.020938,            0.016516,           0.0013877,             0.99335,             0.98938,             0.99449,               0.881,            0.013902,            0.012191,           0.0011064,            0.009142,            0.009142,            0.009142
                  15,            0.019684,            0.015869,           0.0012972,             0.99369,             0.98908,             0.99472,             0.88726,            0.013535,            0.011886,          0.00088662,            0.009076,            0.009076,            0.009076
                  16,             0.01952,            0.015834,           0.0012364,             0.99473,             0.99164,             0.99447,             0.88998,             0.01393,             0.01211,           0.0008131,             0.00901,             0.00901,             0.00901
                  17,            0.019299,            0.015558,           0.0012528,             0.99377,             0.99137,             0.99449,             0.90135,            0.012602,            0.011472,           0.0011703,            0.008944,            0.008944,            0.008944
                  18,            0.019306,            0.015563,           0.0012232,             0.99401,             0.99196,             0.99449,             0.89703,            0.013028,            0.011551,          0.00080319,            0.008878,            0.008878,            0.008878
